QUEST_LV_0300_20150323_000001	Fomos enviados para cá do quartel-general com o intuito de dar apoio aos Cavaleiros de Kaliss.{nl} Se quiser saber mais, vá para nosso quartel-general na Área de Verkti.
QUEST_LV_0300_20150323_000002	Fui um mercador minha vida inteira. Depois de Medzio Diena, esse parece ser o lugar mais seguro para ficar, então me instalei por aqui... Mas acho que estava errado.
QUEST_LV_0300_20150323_000003	Encontrei muitos Reveladores durante minhas viagens.{nl} Na minha opinião... há algo especial sobre eles, mas não é só o fato de serem fortes.
QUEST_LV_0300_20150323_000004	Não estou culpando a Deusa e os sacerdotes.{nl} Mas acho que é exagero quando eles nos pedem para confiar neles e esperar.
QUEST_LV_0300_20150323_000005	Os lacres na vila deveriam estar lacrados - é por isso que se chamam lacres, então qual é o problema?{nl} Os sacerdotes estão apenas tentando nos assustar, sem motivo aparente.
QUEST_LV_0300_20150323_000006	Os sacerdotes não querem que todos saibam o quão importante são os lacres na vila.{nl} Eles acham que podem carregar o fardo sozinhos, e que tudo ficará bem.
QUEST_LV_0300_20150323_000007	Alguns desses sacerdotes querem ser sinceros e abertos com os habitantes.{nl}Desse jeito, se algo ruim acontecer...
QUEST_LV_0300_20150323_000008	$A energia maligna está fazendo essa floresta apodrecer e virar um lugar sem vida.{nl}É, de longe, o maior problema pelo qual essa vila está passando.
QUEST_LV_0300_20150323_000009	$Deusa...{nl}Por favor, me diga que o lacre da vila está bem...
QUEST_LV_0300_20150323_000010	Demônios continuarão a alvejar o lacre e atacar continuamente.{nl}Com a Deusa Austeja ainda desaparecida, não sei quanto tempo vamos durar...
QUEST_LV_0300_20150323_000011	Foi um erro tentar lidar com isso por conta própria.{nl}De agora em diante, contaremos aos habitantes da vila toda a verdade, e os incluiremos em uma discussão deliberada sobre como lidar com o assunto.
QUEST_LV_0300_20150717_000012	Verificar Funcionalidade do Detector (1)
QUEST_LV_0300_20150717_000013	Demônios, Deusas e a Cidade Petrificada (1)
QUEST_LV_0300_20150717_000014	Verificar Funcionalidade do Detector (2)
QUEST_LV_0300_20150717_000015	Demônios, Deusas e a Cidade Petrificada (2)
QUEST_LV_0300_20150717_000016	Verificar Funcionalidade do Detector (3) 
QUEST_LV_0300_20150717_000017	Verificar Funcionalidade do Detector (4)
QUEST_LV_0300_20150717_000018	Sobre a Orientação das Almas
QUEST_LV_0300_20150717_000019	Consertar o Detector de Petrificação
QUEST_LV_0300_20150717_000020	Consertando/MAKING/3/TRACK_AFTER/None
QUEST_LV_0300_20150717_000021	Verificar Funcionalidade do Detector (5)
QUEST_LV_0300_20150717_000022	Consertando/MAKING/3/TRACK_BEFORE
QUEST_LV_0300_20150717_000023	Aviso/!/Uma das peças não está presa direito{nl}Você vai precisar de algo, como um barbante, para prendê-la!#5
QUEST_LV_0300_20150717_000024	Aviso/!/Você vai precisar encontrar uma corda#5
QUEST_LV_0300_20150717_000025	Para a Orientação das Almas
QUEST_LV_0300_20150717_000026	Agora você pode relaxar
QUEST_LV_0300_20150717_000027	Examinando o Dispositivo/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000028	Aviso/!/Ao tocar no dispositivo, você sente que sua alma está sendo sugada!{nl}Você começa a sentir sua força se esvaindo!
QUEST_LV_0300_20150717_000029	Aviso/Agora você se sente reenergizado#5
QUEST_LV_0300_20150717_000030	Seu Único Desejo (1)
QUEST_LV_0300_20150717_000031	Sobre A Razão Por Trás De Sua Vontade de Morrer
QUEST_LV_0300_20150717_000032	Seu Único Desejo (3)
QUEST_LV_0300_20150717_000033	Seu Único Desejo (2)
QUEST_LV_0300_20150717_000034	Vá até o Mestre Clérigo.
QUEST_LV_0300_20150717_000035	Agora Você Está Incapaz De Trabalhar Junto
QUEST_LV_0300_20150717_000036	Destrua o Terminal (1)
QUEST_LV_0300_20150717_000037	Sobre o Computador Central e o Terminal
QUEST_LV_0300_20150717_000038	Evite os ataques dos monstros e destrua o terminal!#5
QUEST_LV_0300_20150717_000039	Destrua o Terminal (2)
QUEST_LV_0300_20150717_000040	$Acendendo a pólvora/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000041	$Aviso/O terminal foi destruído na explosão!#5
QUEST_LV_0300_20150717_000042	$Destrua o Terminal (3)
QUEST_LV_0300_20150717_000043	$E Descanso Eterno (1)
QUEST_LV_0300_20150717_000044	Se Você Tiver Algumas Últimas Palavras
QUEST_LV_0300_20150717_000045	$E Descanso Eterno (2)
QUEST_LV_0300_20150717_000046	$Colocando o Orbe/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000047	$E Descanso Eterno (3)
QUEST_LV_0300_20150717_000048	$Saudações
QUEST_LV_0300_20150717_000049	$Aviso/Parece que o desejo de Svitrigaila foi concedido#5
QUEST_LV_0300_20150717_000050	$Inspecione o Detector
